Question Title,Topic,Difficulty,Link
"Rotate a Linked List K times","Linked List","medium","https://www.geeksforgeeks.org/dsa/rotate-a-linked-list/"
"Intersection in Y Shaped Lists","Linked List","medium","https://www.geeksforgeeks.org/dsa/write-a-function-to-get-the-intersection-point-of-two-linked-lists/"
"Detect Loop in Linked List","Linked List","medium","https://www.geeksforgeeks.org/dsa/detect-loop-in-a-linked-list/"
"Remove loop in Linked List","Linked List","medium","https://www.geeksforgeeks.org/dsa/detect-and-remove-loop-in-a-linked-list/"
"Flattening a Linked List","Linked List","medium","https://www.geeksforgeeks.org/dsa/flattening-a-linked-list/"
"Merge two Sorted Linked Lists","Linked List","medium","https://www.geeksforgeeks.org/dsa/merge-two-sorted-linked-lists/"
"Add Two Numbers Represented as Linked List","Linked List","medium","https://www.geeksforgeeks.org/dsa/add-two-numbers-represented-by-linked-list/"
"Palindrome Linked List","Linked List","medium","https://www.geeksforgeeks.org/dsa/function-to-check-if-a-singly-linked-list-is-palindrome/"
"Linked List Group Reverse","Linked List","hard","https://www.geeksforgeeks.org/dsa/reverse-a-linked-list-in-groups-of-given-size/"
"Clone a Linked List with Next and Random Pointer","Linked List","hard","https://www.geeksforgeeks.org/dsa/a-linked-list-with-next-and-arbit-pointer/"
"LRU Cache","Linked List","hard","https://www.geeksforgeeks.org/dsa/lru-cache-implementation-using-double-linked-lists/"
"Level Order Traversal in Spiral Form","Binary Tree","easy","https://www.geeksforgeeks.org/dsa/level-order-traversal-in-spiral-form/"
"Height of Binary Tree","Binary Tree","easy","https://www.geeksforgeeks.org/dsa/find-the-maximum-depth-or-height-of-a-tree/"
"Balanced Tree Check","Binary Tree","easy","https://www.geeksforgeeks.org/dsa/how-to-determine-if-a-binary-tree-is-balanced/"
"Check Symmetric Tree","Binary Tree","easy","https://www.geeksforgeeks.org/dsa/symmetric-tree-tree-which-is-mirror-image-of-itself/"
"Check Identical Trees","Binary Tree","easy","https://www.geeksforgeeks.org/dsa/write-c-code-to-determine-if-two-trees-are-identical/"
"Left View of Binary Tree","Binary Tree","easy","https://www.geeksforgeeks.org/dsa/print-left-view-binary-tree/"
"Top View of Binary Tree","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/print-nodes-top-view-binary-tree/"
"Bottom View of Binary Tree","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/bottom-view-binary-tree/"
"Diagonal Tree Traversal","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/diagonal-traversal-of-binary-tree/"
"Vertical Tree Traversal","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/vertical-order-traversal-of-binary-tree-using-map/"
"LCA in Binary Tree","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/lowest-common-ancestor-binary-tree-set-1/"
"Tree Boundary Traversal","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/boundary-traversal-of-binary-tree/"
"Diameter of a Binary Tree","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/diameter-of-a-binary-tree/"
"Connect Nodes of Levels","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/connect-nodes-level-level-order-traversal/"
"Serialize and Deserialize a Binary Tree","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/serialize-deserialize-binary-tree/"
"Construct Tree from Inorder & Preorder","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/construct-tree-from-given-inorder-and-preorder-traversal/"
"Maximum Path Sum between 2 Nodes","Binary Tree","medium","https://www.geeksforgeeks.org/dsa/find-maximum-path-sum-in-a-binary-tree/"
"Max Path Sum between 2 Leaf Nodes","Binary Tree","hard","https://www.geeksforgeeks.org/dsa/find-maximum-path-sum-two-leaves-binary-tree/"
"Convert Binary Tree to Doubly Linked List","Binary Tree","hard","https://www.geeksforgeeks.org/dsa/convert-binary-tree-to-doubly-linked-list-using-inorder-traversal/"
"Check for BST","Binary Search Tree","easy","https://www.geeksforgeeks.org/dsa/a-program-to-check-if-a-binary-tree-is-bst-or-not/"
"LCA in BST","Binary Search Tree","easy","https://www.geeksforgeeks.org/dsa/lowest-common-ancestor-in-a-binary-search-tree/"
"Sorted Array to BST","Binary Search Tree","easy","https://www.geeksforgeeks.org/dsa/sorted-array-to-balanced-bst/"
"Kth Largest Element in BST","Binary Search Tree","easy","https://www.geeksforgeeks.org/dsa/kth-largest-element-in-bst-when-modification-to-bst-is-not-allowed/"
"Ceil in BST","Binary Search Tree","medium","https://www.geeksforgeeks.org/dsa/floor-and-ceil-from-a-bst/"
"Largest BST","Binary Search Tree","medium","https://www.geeksforgeeks.org/dsa/largest-bst-binary-tree-set-2/"
"Merge two BST 's","Binary Search Tree","medium","https://www.geeksforgeeks.org/dsa/merge-two-bsts-with-limited-extra-space/"
"Preorder to BST","Binary Search Tree","medium","https://www.geeksforgeeks.org/dsa/construct-bst-from-given-preorder-traversa/"
"Predecessor and Successor in BST","Binary Search Tree","medium","https://www.geeksforgeeks.org/dsa/inorder-predecessor-successor-given-key-bst/"
"Binary Search Tree Iterator","Binary Search Tree","medium","https://www.geeksforgeeks.org/dsa/implement-binary-search-treebst-iterator/"
"Delete a Node from BST","Binary Search Tree","medium","https://www.geeksforgeeks.org/dsa/deletion-in-binary-search-tree/"
"Balance a Binary Search Tree","Binary Search Tree","medium","https://www.geeksforgeeks.org/dsa/convert-normal-bst-balanced-bst/"
"Minimize the Sum of Product","Greedy","easy","https://www.geeksforgeeks.org/dsa/minimize-sum-product-two-arrays-permutations-allowed/"
"Largest Number Possible","Greedy","easy","https://www.geeksforgeeks.org/dsa/find-the-largest-number-with-given-number-of-digits-and-sum-of-digits/"
"Minimum Number of Coins","Greedy","easy","https://www.geeksforgeeks.org/dsa/greedy-algorithm-to-find-minimum-number-of-coins/"
"Assign Cookies","Greedy","easy","https://www.geeksforgeeks.org/dsa/assign-cookies/"
"Gas Station","Greedy","medium","https://www.geeksforgeeks.org/dsa/find-a-tour-that-visits-all-stations/"
"Activity Selection","Greedy","medium","https://www.geeksforgeeks.org/dsa/activity-selection-problem-greedy-algo-1/"
"Fractional Knapsack","Greedy","medium","https://www.geeksforgeeks.org/dsa/fractional-knapsack-problem/"
"Job Sequencing","Greedy","medium","https://www.geeksforgeeks.org/dsa/job-sequencing-problem/"
"Huffman Encoding","Greedy","hard","https://www.geeksforgeeks.org/dsa/huffman-coding-greedy-algo-3/"
"Ways to Reach the Nth Stair","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/count-ways-reach-nth-stair/"
"House Robber II","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/maximum-sum-in-circular-array-such-that-no-two-elements-are-adjacent/"
"Coin Change (Minimum Coins)","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/find-minimum-number-of-coins-that-make-a-change/"
"Coin Change (Count Ways)","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/coin-change-dp-7/"
"Longest Common Substring","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/longest-common-substring-dp-29/"
"Longest Increasing Subsequence","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/longest-increasing-subsequence-dp-3/"
"Longest Common Subsequence","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/longest-common-subsequence-dp-4/"
"0 - 1 Knapsack Problem","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/0-1-knapsack-problem-dp-10/"
"Partition Equal Subset Sum","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/partition-problem-dp-18/"
"Minimum Insertions to Form Palindrome","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/minimum-insertions-to-form-a-palindrome-dp-28/"
"Maximize The Cut Segments","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/maximize-the-number-of-segments-of-length-p-q-and-r/"
"Maximum Path Sum in Matrix","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/maximum-path-sum-matrix/"
"Rod Cutting","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/cutting-a-rod-dp-13/"
"Egg Dropping Puzzle","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/egg-dropping-puzzle-dp-11/"
"Word Break","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/word-break-problem-dp-32/"
"Optimal Strategy For A Game","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/optimal-strategy-for-a-game-dp-31/"
"Wildcard Pattern Matching","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/wildcard-pattern-matching/"
"Edit Distance","Dynamic Programming","medium","https://www.geeksforgeeks.org/dsa/edit-distance-dp-5/"
"Matrix Chain Multiplication","Dynamic Programming","hard","https://www.geeksforgeeks.org/dsa/matrix-chain-multiplication-dp-8/"
"Palindromic Partitioning","Dynamic Programming","hard","https://www.geeksforgeeks.org/dsa/palindrome-partitioning-dp-17/"
"Boolean Parenthesization","Dynamic Programming","hard","https://www.geeksforgeeks.org/dsa/boolean-parenthesization-problem-dp-37/"
"DFS of Graph","Graph","easy","https://www.geeksforgeeks.org/dsa/depth-first-search-or-dfs-for-a-graph/"
"BFS of Graph","Graph","easy","https://www.geeksforgeeks.org/dsa/breadth-first-search-or-bfs-for-a-graph/"
"Detect Cycle in Undirected Graph","Graph","medium","https://www.geeksforgeeks.org/dsa/detect-cycle-undirected-graph/"
"Detect Cycle in a Directed Graph","Graph","medium","https://www.geeksforgeeks.org/dsa/detect-cycle-in-a-graph/"
"Detect a Negative Cycle","Graph","medium","https://www.geeksforgeeks.org/dsa/detect-negative-cycle-graph-bellman-ford/"
"Topological Sorting","Graph","medium","https://www.geeksforgeeks.org/dsa/topological-sorting/"
"Shortest Path in Directed Acyclic Graph","Graph","medium","https://www.geeksforgeeks.org/dsa/shortest-path-for-directed-acyclic-graphs/"
"Kahn’s Algorithm","Graph","medium","https://www.geeksforgeeks.org/dsa/topological-sorting-indegree-based-solution/"
"Dijkstra Algorithm","Graph","medium","https://www.geeksforgeeks.org/dsa/dijkstras-shortest-path-algorithm-greedy-algo-7/"
"Bellman-Ford Algorithm","Graph","medium","https://www.geeksforgeeks.org/dsa/bellman-ford-algorithm-dp-23/"
"Floyd Warshall Algorithm","Graph","medium","https://www.geeksforgeeks.org/dsa/floyd-warshall-algorithm-dp-16/"
"Prim’s Algorithm","Graph","medium","https://www.geeksforgeeks.org/dsa/prims-minimum-spanning-tree-mst-greedy-algo-5/"
"Kruskal’s Algorithm","Graph","medium","https://www.geeksforgeeks.org/dsa/kruskals-minimum-spanning-tree-algorithm-greedy-algo-2/"
"Euler Path and Circuit","Graph","medium","https://www.geeksforgeeks.org/dsa/eulerian-path-and-circuit/"
